electronics.smartphone,338018
electronics.audio.headphone,30503
electronics.video.tv,21565
electronics.clocks,17906
appliances.kitchen.washer,16148
computers.notebook,15590
appliances.environment.vacuum,12378
appliances.kitchen.refrigerators,11218
electronics.tablet,5603
auto.accessories.player,4647
apparel.shoes,4255
electronics.telephone,3738
appliances.kitchen.microwave,3709
appliances.iron,3653
electronics.audio.subwoofer,3348
computers.desktop,3232
appliances.kitchen.blender,3044
appliances.kitchen.kettle,2983
construction.tools.drill,2790
appliances.environment.water_heater,2774
apparel.shoes.keds,2711
computers.peripherals.printer,2496
appliances.environment.air_heater,2483
auto.accessories.alarm,2441
appliances.kitchen.meat_grinder,2382
auto.accessories.videoregister,2375
appliances.kitchen.oven,2335
kids.carriage,2281
furniture.bedroom.bed,2166
appliances.sewing_machine,1939
furniture.living_room.cabinet,1887
construction.tools.saw,1820
appliances.personal.scales,1332
appliances.kitchen.mixer,1260
accessories.bag,1253
construction.tools.generator,1244
furniture.kitchen.chair,1156
furniture.living_room.sofa,1084
construction.tools.welding,1081
kids.toys,1055
computers.peripherals.mouse,1051
appliances.personal.hair_cutter,1047
computers.components.hdd,1035
computers.peripherals.monitor,1035
appliances.kitchen.hob,959
appliances.kitchen.hood,936
electronics.audio.acoustic,888
sport.bicycle,838
computers.components.videocards,836
kids.fmcg.diapers,768
furniture.kitchen.table,742
appliances.kitchen.grill,723
kids.skates,704
appliances.ironing_board,664
furniture.living_room.chair,648
appliances.kitchen.dishwasher,641
computers.peripherals.keyboard,600
auto.accessories.compressor,591
appliances.kitchen.juicer,554
appliances.kitchen.coffee_machine,544
computers.components.memory,526
auto.accessories.radar,494
apparel.costume,489
appliances.kitchen.toster,459
computers.components.cooler,451
electronics.audio.microphone,430
electronics.audio.music_tools.piano,423
appliances.environment.air_conditioner,412
sport.trainer,367
electronics.camera.video,350
kids.dolls,344
kids.swing,330
construction.tools.pump,322
medicine.tools.tonometer,310
accessories.wallet,310
construction.components.faucet,297
computers.ebooks,294
computers.components.motherboard,270
computers.components.cpu,201
computers.components.power_supply,195
furniture.bathroom.toilet,182
electronics.camera.photo,174
furniture.bedroom.pillow,171
appliances.personal.massager,163
furniture.bedroom.blanket,162
apparel.jeans,140
stationery.cartrige,134
construction.tools.painting,133
appliances.kitchen.coffee_grinder,132
construction.tools.light,113
appliances.kitchen.steam_cooker,97
apparel.underwear,97
electronics.video.projector,82
apparel.shoes.moccasins,72
furniture.bathroom.bath,63
apparel.tshirt,58
auto.accessories.parktronic,46
country_yard.lawn_mower,44
computers.peripherals.camera,43
furniture.universal.light,40
apparel.shirt,38
country_yard.cultivator,28
appliances.environment.fan,27
auto.accessories.winch,26
apparel.shoes.sandals,25
accessories.umbrella,24
apparel.trousers,22
apparel.belt,21
apparel.sock,21
sport.ski,16
apparel.dress,15
apparel.shoes.ballet_shoes,11
apparel.scarf,10
sport.tennis,9
apparel.shoes.slipons,8
sport.snowboard,6
apparel.skirt,4
apparel.shorts,2
apparel.jumper,2
apparel.jacket,1
construction.tools.soldering,1
